t,firm_id,price,cost,quantity,profit
0,0,3.0,1.0,2500.0,5000.0
0,1,3.0,1.0,2500.0,5000.0
0,2,3.0,1.0,2500.0,5000.0
1,0,2.9174049774051376,0.9174049774051376,2557.158221822706,5114.316443645412
1,1,3.0242505701119606,1.0242505701119606,2424.1326152059537,4848.265230411907
1,2,2.9936148916859233,0.9936148916859233,2461.5509411486346,4923.101882297269
2,0,2.9079686068038417,0.9079686068038418,2593.9767329298593,5187.953465859719
2,1,3.0565957851151335,1.0565957851151337,2408.197463324478,4816.394926648955
2,2,3.0602103750085807,1.0602103750085807,2403.849070815804,4807.698141631608
3,0,2.9269178102324216,0.9269178102324215,2551.564092793472,5103.128185586944
3,1,3.0744322279950653,1.0744322279950655,2370.1407272664037,4740.2814545328065
3,2,2.9464780781636426,0.9464780781636428,2526.7310871466525,5053.462174293304
4,0,2.984723524721203,0.984723524721203,2536.8434313978973,5073.686862795795
4,1,3.041880980338367,1.0418809803383668,2465.3698500590694,4930.739700118139
4,2,3.0454752009914072,1.0454752009914074,2460.9432871451363,4921.886574290272
5,0,3.1160419154049035,1.1160419154049035,2368.900732073083,4737.801464146166
5,1,2.8786181134843662,0.878618113484366,2667.489912023358,5334.979824046716
5,2,3.1784529588385606,1.1784529588385608,2296.119443880201,4592.238887760401
6,0,3.0479438992625694,1.0479438992625694,2358.2764107610533,4716.552821522107
6,1,2.774858807128704,0.774858807128704,2703.300851350668,5406.601702701336
6,2,3.1552144109585933,1.1552144109585931,2235.121886537611,4470.243773075222
7,0,3.0778620961219785,1.0778620961219783,2470.2839274204894,4940.567854840979
7,1,2.8757498625036675,0.8757498625036675,2732.9707687248424,5465.941537449685
7,2,3.437455075340846,1.437455075340846,2063.7745351298263,4127.549070259653
8,0,2.931521174552571,0.931521174552571,2592.9510224890746,5185.902044978149
8,1,2.8391038623078524,0.8391038623078526,2715.579227634046,5431.1584552680915
8,2,3.475076022458766,1.4750760224587658,1975.890522242833,3951.781044485666
9,0,2.8782951963057846,0.8782951963057848,2516.8723833069766,5033.744766613952
9,1,2.6671656735985128,0.6671656735985128,2797.09610684339,5594.19221368678
9,2,3.452302439157339,1.452302439157339,1888.9354030062448,3777.8708060124895
10,0,2.8755955797788664,0.8755955797788663,2537.5302500992007,5075.060500198401
10,1,2.7064419961591675,0.7064419961591675,2761.4835607536947,5522.9671215073895
10,2,3.4131149846388698,1.4131149846388698,1939.5026283934103,3879.0052567868206
11,0,3.0106032051239966,1.0106032051239966,2445.5566913851003,4891.113382770201
11,1,2.7283089140680516,0.7283089140680515,2816.28862629429,5632.57725258858
11,2,3.4925555339669536,1.4925555339669534,1921.866056026319,3843.732112052638
12,0,2.9076296840836116,0.9076296840836117,2379.186715825666,4758.373431651332
12,1,2.47316570268859,0.4731657026885898,2956.454374651499,5912.908749302998
12,2,3.570612708830974,1.570612708830974,1707.9045348713344,3415.8090697426687
13,0,2.943821083029161,0.9438210830291611,2398.649218021538,4797.298436043076
13,1,2.543128197826695,0.5431281978266949,2930.7319252854118,5861.4638505708235
13,2,3.585992330865653,1.585992330865653,1739.8869314076385,3479.773862815277
